"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47158099999","1989-01-01","35.126389","126.808889","11.88","GWANGJU, KS","  23.7"," 5","  22.3"," 5","9999.9"," 0","999.9"," 0","  4.5"," 5","  0.0"," 5","999.9","999.9","  32.0","*","  19.4","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-02","35.126389","126.808889","11.88","GWANGJU, KS","  34.9","10","  28.9","10","9999.9"," 0","999.9"," 0","  4.4"," 9","  1.1"," 9","  9.9","999.9","  41.0","*","  28.4","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-03","35.126389","126.808889","11.88","GWANGJU, KS","  31.7","14","  22.9","14","9999.9"," 0","999.9"," 0","  5.8","14","  1.4","14","  7.0","999.9","  48.2","*","  19.4","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-04","35.126389","126.808889","11.88","GWANGJU, KS","  27.4","11","  15.1","11","9999.9"," 0","999.9"," 0","  7.0","11","  2.0","10","  7.0","999.9","  42.8","*","  15.8","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-05","35.126389","126.808889","11.88","GWANGJU, KS","  35.7","13","  19.4","13","9999.9"," 0","999.9"," 0","  6.3","11","  0.1","10","  1.0","999.9","  50.0","*","  24.8","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-06","35.126389","126.808889","11.88","GWANGJU, KS","  42.8","10","  36.5","10","9999.9"," 0","999.9"," 0","  5.0"," 9","  1.1","10","  5.1","999.9","  46.4","*","  32.0","*","99.99"," ","999.9","010000"
"47158099999","1989-01-07","35.126389","126.808889","11.88","GWANGJU, KS","  49.4"," 6","  47.6"," 6","9999.9"," 0","999.9"," 0","  2.9"," 6","  3.0"," 5","  4.1","999.9","  50.0","*","  46.4","*","99.99"," ","999.9","110000"
"47158099999","1989-01-08","35.126389","126.808889","11.88","GWANGJU, KS","  50.0"," 6","  48.5"," 6","9999.9"," 0","999.9"," 0","  0.8"," 6","  0.2"," 6"," 12.0","999.9","  53.6","*","  48.2","*","99.99"," ","999.9","010000"
"47158099999","1989-01-09","35.126389","126.808889","11.88","GWANGJU, KS","  48.2","21","  46.5","21","9999.9"," 0","999.9"," 0","  2.3","21","  0.5","21","  2.9","999.9","  53.6","*","  41.0","*","99.99"," ","999.9","010000"
"47158099999","1989-01-10","35.126389","126.808889","11.88","GWANGJU, KS","  48.8","19","  46.9","19","9999.9"," 0","999.9"," 0","  1.6","19","  0.3","19","  1.0","999.9","  51.8","*","  46.4","*","99.99"," ","999.9","010000"
"47158099999","1989-01-11","35.126389","126.808889","11.88","GWANGJU, KS","  45.4","18","  43.7","18","9999.9"," 0","999.9"," 0","  4.1","17","  1.8","18","  6.0","999.9","  50.0","*","  39.2","*","99.99"," ","999.9","010000"
"47158099999","1989-01-12","35.126389","126.808889","11.88","GWANGJU, KS","  38.4","12","  34.0","12","9999.9"," 0","999.9"," 0","  4.4","11","  2.4"," 9","  5.1","999.9","  41.0","*","  33.8","*","99.99"," ","999.9","010000"
"47158099999","1989-01-13","35.126389","126.808889","11.88","GWANGJU, KS","  32.3","14","  22.7","13","9999.9"," 0","999.9"," 0","  7.0","10","  4.5","13","  8.0","999.9","  37.4","*","  26.6","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-14","35.126389","126.808889","11.88","GWANGJU, KS","  26.6"," 6","  20.3"," 6","9999.9"," 0","999.9"," 0","  6.5"," 6","  2.4"," 6","  7.0","999.9","  35.6","*","  19.4","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-15","35.126389","126.808889","11.88","GWANGJU, KS","  29.9"," 6","  21.2"," 6","9999.9"," 0","999.9"," 0","  5.7"," 6","  3.4"," 6","  6.0","999.9","  39.2","*","  21.2","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-16","35.126389","126.808889","11.88","GWANGJU, KS","  32.5","12","  23.9","12","9999.9"," 0","999.9"," 0","  6.4","12","  1.2","12","  4.1","999.9","  42.8","*","  23.0","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-17","35.126389","126.808889","11.88","GWANGJU, KS","  36.0","10","  24.3","10","9999.9"," 0","999.9"," 0","  6.2"," 9","  0.9","10","  1.9","999.9","  44.6","*","  32.0","*","99.99"," ","999.9","010000"
"47158099999","1989-01-18","35.126389","126.808889","11.88","GWANGJU, KS","  40.7","12","  38.5","11","9999.9"," 0","999.9"," 0","  4.5"," 9","  2.3","11","  5.1","999.9","  42.8","*","  35.6","*","99.99"," ","999.9","010000"
"47158099999","1989-01-19","35.126389","126.808889","11.88","GWANGJU, KS","  42.8","13","  41.0","13","9999.9"," 0","999.9"," 0","  3.0","12","  1.5","13","  5.1","999.9","  46.4","*","  39.2","*","99.99"," ","999.9","010000"
"47158099999","1989-01-20","35.126389","126.808889","11.88","GWANGJU, KS","  40.6"," 8","  33.4"," 8","9999.9"," 0","999.9"," 0","  4.4"," 8","  3.5"," 8","  6.0","999.9","  46.4","*","  30.2","*"," 0.00","I","999.9","000000"
"47158099999","1989-01-21","35.126389","126.808889","11.88","GWANGJU, KS","  37.0","16","  29.1","16","9999.9"," 0","999.9"," 0","  5.4","15","  1.7","15","  7.0","999.9","  48.2","*","  30.2","*"," 0.00","I","999.9","100000"
