"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"47158099999","2018-04-16","35.126389","126.808889","11.88","GWANGJU, KS","  49.0","16","  42.9","16","1021.2","16","999.9"," 0","  6.2","16","  2.0","16","  5.1","999.9","  57.2","*","  44.6","*"," 0.00","I","999.9","000000"
"47158099999","2018-04-17","35.126389","126.808889","11.88","GWANGJU, KS","  53.5","24","  42.6","24","1019.3","22","999.9"," 0","  5.2","24","  3.6","24"," 12.0","999.9","  69.8","*","  39.2","*"," 0.00","I","999.9","000000"
"47158099999","2018-04-18","35.126389","126.808889","11.88","GWANGJU, KS","  54.6","17","  41.0","17","1017.7","16","999.9"," 0","  5.7","17","  3.5","17","  8.0","999.9","  71.6","*","  37.4","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-02","35.126389","126.808889","11.88","GWANGJU, KS","  76.2"," 9","  73.4"," 9","1006.1"," 7","999.9"," 0","  6.0"," 9","  4.5"," 9"," 11.1","999.9","  80.6","*","  69.8","*","99.99"," ","999.9","010010"
"47158099999","2018-07-03","35.126389","126.808889","11.88","GWANGJU, KS","  82.7"," 6","  74.0"," 6"," 996.3"," 4","999.9"," 0","  6.0"," 6"," 10.0"," 6"," 14.0","999.9","  87.8","*","  75.2","*"," 0.47","G","999.9","010000"
"47158099999","2018-07-22","35.126389","126.808889","11.88","GWANGJU, KS","  80.6"," 8","  74.3"," 8","1008.5"," 8","999.9"," 0","  6.2"," 8","  2.7"," 8","  7.0","999.9","  87.8","*","  75.2","*"," 0.00","G","999.9","000000"
"47158099999","2018-07-23","35.126389","126.808889","11.88","GWANGJU, KS","  84.4","20","  75.2","20","1008.5","20","999.9"," 0","  6.2","20","  3.7","20","  7.0","999.9","  96.8","*","  75.2","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-24","35.126389","126.808889","11.88","GWANGJU, KS","  85.9","24","  76.2","24","1007.6","23","999.9"," 0","  6.2","24","  4.3","24","  8.9","999.9","  96.8","*","  77.0","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-25","35.126389","126.808889","11.88","GWANGJU, KS","  85.5","24","  75.1","24","1007.6","23","999.9"," 0","  6.2","24","  4.1","24","  9.9","999.9","  96.8","*","  75.2","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-26","35.126389","126.808889","11.88","GWANGJU, KS","  86.7","24","  76.0","24","1007.2","22","999.9"," 0","  6.2","24","  4.2","24","  8.0","999.9","  98.6","*","  75.2","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-27","35.126389","126.808889","11.88","GWANGJU, KS","  87.8","23","  75.8","23","1006.4","23","999.9"," 0","  6.0","23","  4.0","23","  9.9","999.9"," 100.4","*","  77.0","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-28","35.126389","126.808889","11.88","GWANGJU, KS","  87.1","24","  77.2","24","1004.1","24","999.9"," 0","  6.1","24","  3.9","24"," 11.1","999.9"," 100.4","*","  78.8","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-29","35.126389","126.808889","11.88","GWANGJU, KS","  90.1","24","  73.2","24","1001.1","24","999.9"," 0","  6.2","24","  5.7","24"," 12.0","999.9"," 100.4","*","  78.8","*"," 0.00","I","999.9","000000"
"47158099999","2018-07-30","35.126389","126.808889","11.88","GWANGJU, KS","  85.7","24","  74.4","24","1003.5","23","999.9"," 0","  6.2","24","  3.2","24","  8.0","999.9","  98.6","*","  75.2","*"," 0.01","G","999.9","010000"
"47158099999","2018-07-31","35.126389","126.808889","11.88","GWANGJU, KS","  87.4","24","  74.7","24","1003.0","24","999.9"," 0","  6.2","24","  3.3","24","  7.0","999.9"," 100.4","*","  77.0","*"," 0.00","G","999.9","000000"
"47158099999","2018-08-01","35.126389","126.808889","11.88","GWANGJU, KS","  89.5","24","  74.5","24","1003.5","24","999.9"," 0","  6.2","24","  3.7","24","  8.9","999.9"," 104.0","*","  77.0","*"," 0.00","I","999.9","000000"
"47158099999","2018-08-02","35.126389","126.808889","11.88","GWANGJU, KS","  91.0","23","  74.0","23","1005.6","23","999.9"," 0","  6.2","23","  5.1","23","  9.9","999.9"," 102.2","*","  78.8","*"," 0.00","I","999.9","000000"
"47158099999","2018-08-03","35.126389","126.808889","11.88","GWANGJU, KS","  86.6","24","  75.8","24","1008.2","23","999.9"," 0","  6.2","24","  5.3","24"," 11.1","999.9","  96.8","*","  78.8","*"," 0.00","I","999.9","000000"
"47158099999","2018-08-04","35.126389","126.808889","11.88","GWANGJU, KS","  86.9","24","  76.8","24","1007.9","24","999.9"," 0","  6.2","24","  5.0","24","  9.9","999.9","  96.8","*","  77.0","*"," 0.00","I","999.9","000000"
"47158099999","2018-08-05","35.126389","126.808889","11.88","GWANGJU, KS","  87.0","24","  76.1","24","1007.1","24","999.9"," 0","  6.2","24","  5.2","24"," 11.1","999.9","  96.8","*","  77.0","*"," 0.00","I","999.9","000000"
"47158099999","2018-08-06","35.126389","126.808889","11.88","GWANGJU, KS","  93.8","12","  74.6","12","1005.5","12","999.9"," 0","  6.2","12","  6.7","12"," 11.1","999.9"," 100.4","*","  84.2","*"," 0.00","I","999.9","000000"
