"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"2",10,-20,-15,0,0
"3",10,-20,-14,0,0
"4",10,-20,-13,0,0
"5",10,-20,-12,0,0
"6",10,-20,-11,0,0
"7",10,-20,-10,0,0
"8",10,-20,-9,0,0
"9",10,-20,-8,0,0
"10",10,-20,-7,0,0
"11",10,-20,-6,0,0
"12",10,-20,-5,0,0
"13",10,-20,-4,0,0
"14",10,-20,-3,0,0
"15",10,-20,-2,0.000000092703992855951,0
"16",10,-20,-1,0.00000122139027712545,0
"17",10,-20,0,0.0000155618113121241,0
"18",10,-20,1,0.000193535710617721,0
"19",10,-20,2,0.00234521247492047,0
"20",10,-20,3,0.0264244725454798,0
"21",10,-20,4,0.186618603452858,0
"22",10,-20,5,0.284854426658291,0.00778560774816395
"23",10,-20,6,0.346433295287052,0.0446972603015827
"24",10,-20,7,0.31247768683675,0.117693509359249
"25",10,-20,8,0.33933352362173,0.237987719011499
"26",10,-20,9,0.35401218996087,0.404283695820155
"27",10,-20,10,0.339289155962946,0.61463124260334
"28",10,-20,11,0.308583828554779,0.872088313499819
"29",10,-20,12,0.324224089699691,1.17646524192622
"30",10,-20,13,0.353571537313256,1.52202624161814
"31",10,-20,14,0.356837238377148,1.90186307733218
"32",10,-20,15,0.352236101696597,2.30853244829212
"33",10,-20,16,0.304370939083782,2.73508545599909
"34",10,-20,17,0.271129543537721,3.17508384133855
"35",10,-20,18,0.22927952008914,3.62185219983052
"36",10,-20,19,0.213829375277155,4.06853888933087
"37",10,-20,20,0.21004005113676,4.5079545270634
"38",10,-20,21,0.157425589884322,4.93279780698992
"39",10,-20,22,0,5.33613879853584
"40",10,-20,23,0,5.71110634727749
"41",10,-20,24,0,6.0513321745656
"42",10,-20,25,0,6.35129440489845
"43",10,-20,26,0,6.29593084254186
"44",10,-20,27,0,5.68492363241361
"45",10,-20,28,0,5.1356590482637
"46",10,-20,29,0,4.73580037845702
"47",10,-20,30,0,4.20945751164643
"48",10,-19,-15,0,0
"49",10,-19,-14,0,0
"50",10,-19,-13,0,0
"51",10,-19,-12,0,0
"52",10,-19,-11,0,0
"53",10,-19,-10,0,0
"54",10,-19,-9,0,0
"55",10,-19,-8,0,0
"56",10,-19,-7,0,0
"57",10,-19,-6,0,0
"58",10,-19,-5,0,0
"59",10,-19,-4,0,0
"60",10,-19,-3,0,0
"61",10,-19,-2,0.0000000952587398735255,0
"62",10,-19,-1,0.00000125988507659283,0
"63",10,-19,0,0.0000159843570455444,0
"64",10,-19,1,0.00019842914115059,0
"65",10,-19,2,0.00240067342139358,0
"66",10,-19,3,0.0270021313932991,0
"67",10,-19,4,0.190755496877928,0
"68",10,-19,5,0.287583635650194,0.00801049867440523
"69",10,-19,6,0.341409762341082,0.0454058197050274
