"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,0.000015008264887934,0
10,-10,-4,0.0000699669994360751,0
10,-10,-3,0.000325927579992334,0
10,-10,-2,0.00150883241816243,0
10,-10,-1,0.00688749621975467,0
10,-10,0,0.0302532859099401,0
10,-10,1,0.117230194414101,0
10,-10,2,0.323600443503322,0
10,-10,3,0.527159883990121,0
10,-10,4,0.560764471751803,0
10,-10,5,0.573209699929858,0.236461799505509
10,-10,6,0.598788807542265,1.28425982646906
10,-10,7,0.61351987109778,3.41882625796865
10,-10,8,0.616571022123477,6.75636070573324
10,-10,9,0.63183431382,11.3571943510474
10,-10,10,0.633981540628652,17.226892851784
10,-10,11,0.618567398109029,24.2874876867509
10,-10,12,0.616268654110669,32.4358381823337
10,-10,13,0.619466132699004,41.5672918768316
10,-10,14,0.596917432073324,51.5438811301814
10,-10,15,0.585956024601675,62.200364315087
10,-10,16,0.541998005192061,73.3546249572894
10,-10,17,0.529108964378222,84.8101442078887
10,-10,18,0.492638386259438,96.3726487431824
10,-10,19,0.457917658491554,107.850789522271
10,-10,20,0.41612023770748,119.057625355683
10,-10,21,0.377614208712257,129.818393782017
10,-10,22,0.21596189412419,139.96595869639
10,-10,23,0.0329024043105461,149.341603912354
10,-10,24,0,157.804914440621
10,-10,25,0,165.236022984986
10,-10,26,0,166.902364657533
10,-10,27,0,163.946917385148
10,-10,28,0,159.019041600922
10,-10,29,0,151.630584219102
10,-10,30,0,143.327226226869
10,-9,-5,0.0000161468141224034,0
10,-9,-4,0.0000737116557293621,0
10,-9,-3,0.000339144278208167,0
10,-9,-2,0.00155769524095448,0
10,-9,-1,0.00707352557940477,0
10,-9,0,0.0309646635401499,0
10,-9,1,0.119799281702149,0
10,-9,2,0.330959897677109,0
10,-9,3,0.53748737864931,0
10,-9,4,0.572266077343078,0
10,-9,5,0.584742470080847,0.244119243770298
10,-9,6,0.612180243146143,1.32721967745243
10,-9,7,0.621540121401519,3.52488706013949
10,-9,8,0.637289076819588,6.9529361754509
10,-9,9,0.643871911419962,11.6787564944419
10,-9,10,0.637548978731687,17.6855679197019
10,-9,11,0.629582835770856,24.8900098166065
10,-9,12,0.636931801293127,33.2022411525957
10,-9,13,0.637692565410403,42.5103639938119
10,-9,14,0.610692033267299,52.6666187782588
10,-9,15,0.562577869727659,63.5006861928011
10,-9,16,0.555488851404889,74.8220657172582
10,-9,17,0.53996957342995,86.4375142321681
10,-9,18,0.499909143826661,98.1540721272036
10,-9,19,0.463889913840978,109.779732056722
10,-9,20,0.427002349408455,121.131168600738
10,-9,21,0.424199181284549,132.027184630855
10,-9,22,0.208296089194991,142.29325341225
10,-9,23,0.0507201629405635,151.771050899422
10,-9,24,0,160.319313201274
