"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"2064/2065",2065,121,121,100,1025,900.5,67.2563894549544,6452.6907901448,"simulated"
"2065/2066",2066,120,120,100,1047,956,70.2516537828152,5219.50472712261,"simulated"
"2066/2067",2067,120,120,100,1254,1174,77.6078820657937,3827.79164695703,"simulated"
"2067/2068",2068,120,120,100,1295,1327.5,79.7401269256017,5508.12646499888,"simulated"
"2068/2069",2069,121,121,100,1247,1138,76.0615411214815,4314.09911848737,"simulated"
"2069/2070",2070,120,120,100,1333,1256.5,79.4134487059858,4610.09376727105,"simulated"
"2070/2071",2071,120,120,100,1177,1189,77.561965908908,5301.72234638538,"simulated"
"2071/2072",2072,120,120,100,1199,1187.5,77.6938857125963,4768.90675383544,"simulated"
"2072/2073",2073,121,121,100,1212,1134,77.7135243588728,4169.93294042324,"simulated"
"2073/2074",2074,120,120,100,1142,1012,76.0515957713054,4117.24370616058,"simulated"
"2074/2075",2075,120,120,100,1462,1388.5,81.9222855218791,3525.71955324172,"simulated"
"2075/2076",2076,120,120,100,1287,1230,77.8291656075809,3766.55408125049,"simulated"
"2076/2077",2077,121,121,100,1141,1076,76.3607731447003,4182.56009679428,"simulated"
"2077/2078",2078,120,120,100,1271,1176.5,76.4713698553918,5579.56436999411,"simulated"
"2078/2079",2079,120,120,100,1237,1261,74.10437768362,6127.25973828512,"simulated"
"2079/2080",2080,120,120,100,1181,1080.5,72.4664550552734,5447.14688739595,"simulated"
"2080/2081",2081,121,121,100,1054,943,71.6739414567147,4889.63973322649,"simulated"
"2081/2082",2082,120,120,100,1239,1161.5,75.3555201564584,4185.1904840382,"simulated"
"2082/2083",2083,120,120,100,1337,1274,81.8282939440228,3775.25288997499,"simulated"
"2083/2084",2084,120,120,100,1118,1062,73.5834593887957,4233.8006923802,"simulated"
"2084/2085",2085,121,121,100,1192,1276,79.066992082583,5789.73388387845,"simulated"
"2085/2086",2086,120,120,100,1337,1226,78.7086554690329,4388.27162197576,"simulated"
"2086/2087",2087,120,120,100,1305,1220.5,77.5534036644645,4794.04338529174,"simulated"
"2087/2088",2088,120,120,100,1273,1241.5,78.489138139729,4544.3048652231,"simulated"
"2088/2089",2089,121,121,100,1231,1176,78.0170179181523,4925.43787304186,"simulated"
"2089/2090",2090,120,120,100,1342,1212.5,79.820491888423,4465.6354063664,"simulated"
"2090/2091",2091,120,120,100,1234,1220,76.9457560646755,6149.0364820811,"simulated"
"2091/2092",2092,120,120,100,1273,1238,78.9202789361978,5002.26912364777,"simulated"
"2092/2093",2093,121,121,100,1282,1216.5,77.3853764964011,4991.0065626058,"simulated"
"2093/2094",2094,120,120,100,1270,1199,78.352786705381,3756.02972326882,"simulated"
"2094/2095",2095,120,120,100,1395,1293,80.5243763987724,3869.05826986151,"simulated"
"2095/2096",2096,120,120,100,1252,1135.5,77.1149746191763,4691.77394843086,"simulated"
"2096/2097",2097,121,121,100,1363,1223.5,78.7112825177252,2563.72770472978,"simulated"
"2097/2098",2098,120,120,100,1529,1363.5,82.3373749615764,2749.70305845771,"simulated"
"2098/2099",2099,120,120,100,1453,1325.5,78.7332273866426,4149.55992916963,"simulated"
"2099/2100",2100,120,120,100,1262,1283.5,77.7907536281931,4766.50136207735,"simulated"
