"Year","Month","Day","Hour","Temp","Warm_Hour"
2008,3,9,20,13.81,FALSE
2008,3,9,21,11.929,FALSE
2008,3,9,22,10.467,FALSE
2008,3,9,23,9.534,FALSE
2008,3,10,0,8.469,FALSE
2008,3,10,1,8.02,FALSE
2008,3,10,2,7.217,FALSE
2008,3,10,3,6.889,FALSE
2008,3,10,4,6.331,FALSE
2008,3,10,5,5.796,FALSE
2008,3,10,6,6.179,FALSE
2008,3,10,7,7.368,FALSE
2008,3,10,8,11.759,FALSE
2008,3,10,9,13.185,FALSE
2008,3,10,10,16.963,FALSE
2008,3,10,11,20.079,FALSE
2008,3,10,12,22.106,FALSE
2008,3,10,13,23.28,FALSE
2008,3,10,14,23.136,FALSE
2008,3,10,15,23.424,FALSE
2008,3,10,16,22.657,FALSE
2008,3,10,17,21.724,FALSE
2008,3,10,18,19.793,FALSE
2008,3,10,19,18.2,FALSE
2008,3,10,20,16.082,FALSE
2008,3,10,21,14.409,FALSE
2008,3,10,22,13.57,FALSE
2008,3,10,23,12.437,FALSE
2008,3,11,0,14.409,FALSE
2008,3,11,1,13.546,FALSE
2008,3,11,2,13.353,FALSE
2008,3,11,3,12.703,FALSE
2008,3,11,4,8.045,FALSE
2008,3,11,5,7.066,FALSE
2008,3,11,6,6.788,FALSE
2008,3,11,7,7.393,FALSE
2008,3,11,8,11.71,FALSE
2008,3,11,9,15.438,FALSE
2008,3,11,10,17.796,FALSE
2008,3,11,11,20.079,FALSE
2008,3,11,12,20.293,FALSE
2008,3,11,13,21.223,FALSE
2008,3,11,14,20.436,FALSE
2008,3,11,15,20.817,FALSE
2008,3,11,16,21.413,FALSE
2008,3,11,17,20.174,FALSE
2008,3,11,18,17.034,FALSE
2008,3,11,19,14.218,FALSE
2008,3,11,20,12.751,FALSE
2008,3,11,21,11.394,FALSE
2008,3,11,22,10.638,FALSE
2008,3,11,23,11.467,FALSE
2008,3,12,0,13.93,FALSE
2008,3,12,1,13.882,FALSE
2008,3,12,2,9.558,FALSE
2008,3,12,3,8.469,FALSE
2008,3,12,4,8.095,FALSE
2008,3,12,5,7.97,FALSE
2008,3,12,6,7.142,FALSE
2008,3,12,7,6.737,FALSE
2008,3,12,8,10.198,FALSE
2008,3,12,9,13.257,FALSE
2008,3,12,10,15.652,FALSE
2008,3,12,11,19.056,FALSE
2008,3,12,12,20.889,FALSE
2008,3,12,13,20.841,FALSE
2008,3,12,14,22.011,FALSE
2008,3,12,15,22.369,FALSE
2008,3,12,16,21.915,FALSE
2008,3,12,17,19.96,FALSE
2008,3,12,18,19.579,FALSE
2008,3,12,19,17.653,FALSE
2008,3,12,20,16.582,FALSE
2008,3,12,21,15.533,FALSE
2008,3,12,22,16.034,FALSE
2008,3,12,23,16.082,FALSE
2008,3,13,0,14.17,FALSE
2008,3,13,1,14.266,FALSE
2008,3,13,2,13.497,FALSE
2008,3,13,3,12.437,FALSE
2008,3,13,4,12.074,FALSE
2008,3,13,5,11.977,FALSE
2008,3,13,6,12.05,FALSE
2008,3,13,7,12.437,FALSE
2008,3,13,8,13.57,FALSE
2008,3,13,9,15.676,FALSE
2008,3,13,10,17.986,FALSE
2008,3,13,11,19.127,FALSE
2008,3,13,12,20.817,FALSE
2008,3,13,13,19.698,FALSE
2008,3,13,14,20.936,FALSE
2008,3,13,15,19.674,FALSE
2008,3,13,16,17.534,FALSE
2008,3,13,17,16.487,FALSE
2008,3,13,18,15.055,FALSE
2008,3,13,19,13.497,FALSE
2008,3,13,20,12.703,FALSE
2008,3,13,21,12.268,FALSE
2008,3,13,22,11.565,FALSE
2008,3,13,23,10.736,FALSE
2008,3,14,0,9.336,FALSE
2008,3,14,1,7.845,FALSE
2008,3,14,2,8.494,FALSE
2008,3,14,3,7.82,FALSE
2008,3,14,4,8.668,FALSE
2008,3,14,5,7.619,FALSE
2008,3,14,6,8.419,FALSE
2008,3,14,7,8.891,FALSE
2008,3,14,8,11.419,FALSE
2008,3,14,9,12.437,FALSE
2008,3,14,10,14.745,FALSE
2008,3,14,11,14.266,FALSE
2008,3,14,12,16.963,FALSE
2008,3,14,13,13.546,FALSE
2008,3,14,14,14.792,FALSE
2008,3,14,15,14.936,FALSE
2008,3,14,16,13.69,FALSE
2008,3,14,17,12.944,FALSE
2008,3,14,18,11.297,FALSE
2008,3,14,19,9.829,FALSE
2008,3,14,20,9.435,FALSE
2008,3,14,21,8.965,FALSE
2008,3,14,22,8.419,FALSE
2008,3,14,23,6.965,FALSE
2008,3,15,0,6.763,FALSE
2008,3,15,1,6.484,FALSE
2008,3,15,2,5.514,FALSE
2008,3,15,3,6.889,FALSE
2008,3,15,4,6.102,FALSE
2008,3,15,5,6.914,FALSE
2008,3,15,6,6.102,FALSE
2008,3,15,7,5.975,FALSE
2008,3,15,8,8.99,FALSE
2008,3,15,9,10.761,FALSE
2008,3,15,10,12.05,FALSE
2008,3,15,11,13.594,FALSE
2008,3,15,12,14.17,FALSE
2008,3,15,13,15.247,FALSE
2008,3,15,14,14.194,FALSE
2008,3,15,15,14.074,FALSE
2008,3,15,16,14.529,FALSE
2008,3,15,17,13.281,FALSE
2008,3,15,18,12.122,FALSE
2008,3,15,19,9.706,FALSE
2008,3,15,20,8.693,FALSE
2008,3,15,21,8.519,FALSE
2008,3,15,22,8.99,FALSE
2008,3,15,23,8.767,FALSE
2008,3,16,0,8.891,FALSE
2008,3,16,1,9.756,FALSE
