"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2072/2073",2073,121,121,100,1493,1273.5,69.2412242307128,1321.93160390249
"2073/2074",2074,120,120,100,1433,989.5,63.9132983382187,791.237877206877
"2074/2075",2075,120,120,100,1587,1289.5,74.0135567564485,1121.95944025833
"2075/2076",2076,120,120,100,1534,1226.5,70.169979130711,1098.85050851479
"2076/2077",2077,121,121,100,1309,991.5,65.6049164813885,662.501280166209
"2077/2078",2078,120,120,100,1762,1632,81.890684485581,2571.23575661378
"2078/2079",2079,120,120,100,1611,1637.5,78.2700220378138,2492.48389650695
"2079/2080",2080,120,120,100,1476,1262,73.0979282450735,1607.61323104054
"2080/2081",2081,121,121,100,1054,934,64.3692137974067,1832.61102485051
"2081/2082",2082,120,120,100,1443,1137.5,68.821305029458,943.43075120775
"2082/2083",2083,120,120,100,1850,1232,77.2529723773187,403.848789331969
"2083/2084",2084,120,120,100,1441,1043,70.9702301440029,719.144342469983
"2084/2085",2085,121,121,100,1645,1662.5,83.0976211485158,2558.51584357535
"2085/2086",2086,120,120,100,1690,1286.5,75.5505743488811,1080.25477734348
"2086/2087",2087,120,120,100,1728,1454.5,77.7134248151924,1282.96714377217
"2087/2088",2088,120,120,100,1819,1477,78.9124659431454,1010.25637707207
"2088/2089",2089,121,121,100,1681,1474.5,78.6975874916261,1423.24717059452
"2089/2090",2090,120,120,100,1957,1502.5,80.5465544876624,824.286667091306
"2090/2091",2091,120,120,100,1726,1653.5,82.0192923747654,2360.16692508291
"2091/2092",2092,120,120,100,1752,1444.5,78.9084256273236,1451.49339594226
"2092/2093",2093,121,121,100,1847,1567,81.8719594419017,1984.79451293312
"2093/2094",2094,120,120,100,1537,1127.5,74.2431834133567,804.172754060477
"2094/2095",2095,120,120,100,1731,1368,77.236456076469,1039.71203380544
"2095/2096",2096,120,120,100,1773,1337,77.1434227673672,1018.19254217669
"2096/2097",2097,121,121,100,1447,797,66.9917646260365,106.16745822737
"2097/2098",2098,120,120,100,1745,1246.5,71.8541901936878,611.715735506266
"2098/2099",2099,120,120,100,1905,1548.5,80.4999902577911,802.130625949241
"2099/2100",2100,120,120,100,1585,1458,79.0199980240868,1502.72190518957
"2100/2101",2101,120,61,50.8333333333333,950,720.5,39.9746887834335,522.199760033749
