"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1426,1113.5,65.9272112635595,706.937062542722
"2002/2003",2003,120,120,100,1485,1071,65.3378928428557,688.435893420909
"2003/2004",2004,120,120,100,1820,1664,76.0740694370053,1482.78319544981
"2004/2005",2005,121,121,100,1701,1252.5,70.3491952569979,617.8532148136
"2005/2006",2006,120,120,100,1408,990.5,57.9789779545604,408.022642235373
"2006/2007",2007,120,120,100,1625,1161.5,69.1159960815235,796.99413820816
"2007/2008",2008,120,120,100,1860,1439.5,78.445005140358,1111.04390546653
"2008/2009",2009,121,121,100,1505,1359,69.6754990112745,1091.47616310103
"2009/2010",2010,120,120,100,1418,1245,67.1811373679036,841.228964413604
"2010/2011",2011,120,120,100,1199,1030,60.0149776918038,1158.71610230973
"2011/2012",2012,120,120,100,1883,1330.5,75.2772074930094,428.378590722976
"2012/2013",2013,121,121,100,1693,1464,75.5860279170624,1049.53989509179
"2013/2014",2014,120,120,100,1804,1538.5,76.2811657360153,1225.696945615
"2014/2015",2015,120,120,100,1930,1833.5,79.3798153402095,1281.46362920705
"2015/2016",2016,120,120,100,1712,1169.5,70.9382659002367,344.080115957477
"2016/2017",2017,121,121,100,1584,1234.5,66.6545355121261,805.766023951757
"2017/2018",2018,120,120,100,1333,1139,65.7613837664335,1452.2578301623
"2018/2019",2019,120,120,100,1761,1485.5,77.3575403161908,1687.6862662356
"2019/2020",2020,120,120,100,1490,1055.5,68.9164222100917,580.979839266452
"2020/2021",2021,121,121,100,1171,894.5,61.7203110666842,700.52492592833
"2021/2022",2022,120,120,100,2068,1837.5,83.3387986997104,967.30945129093
"2022/2023",2023,120,120,100,1768,1172.5,73.1112654152193,641.557366497349
"2023/2024",2024,120,120,100,1426,803.5,60.1291467754545,183.925643155584
"2024/2025",2025,121,121,100,1584,1039.5,70.5257477797122,229.076032586396
"2025/2026",2026,120,120,100,1311,1131,63.6482595250145,1405.397897357
"2026/2027",2027,120,120,100,1524,1703,78.2912401716139,3371.30519553658
"2027/2028",2028,120,120,100,1708,1312.5,73.6367263785669,639.706724326825
"2028/2029",2029,121,121,100,1906,1526.5,75.3085438739035,1139.94530996692
"2029/2030",2030,120,120,100,1901,1426.5,75.6189899237779,605.183797889971
"2030/2031",2031,120,120,100,1581,1176,64.6141405748849,644.391150466865
"2031/2032",2032,120,120,100,1963,1485.5,74.577054057454,506.310292024864
"2032/2033",2033,121,121,100,1718,1266,70.7861923899209,852.791725270217
"2033/2034",2034,120,120,100,1856,1590,78.246359017613,1281.42756811145
"2034/2035",2035,120,120,100,2056,1742.5,82.6253080070273,1177.98886011564
"2035/2036",2036,120,120,100,1862,1342.5,72.2916784423587,475.158631291473
"2036/2037",2037,121,121,100,1664,1184.5,67.9300545026272,434.725772081641
"2037/2038",2038,120,120,100,2153,1782.5,83.3585598606887,1312.8175482814
"2038/2039",2039,120,120,100,1429,1147,65.9014189166737,761.855475397897
"2039/2040",2040,120,120,100,1308,699.5,53.0368832151744,63.9785395965446
"2040/2041",2041,121,121,100,1713,1138,69.7366231058804,301.37620344595
"2041/2042",2042,120,120,100,1665,1170,74.2423050575744,923.771530586644
"2042/2043",2043,120,120,100,1089,672.5,50.6476681511849,282.0356676589
"2043/2044",2044,120,120,100,1752,1419,77.1346637469014,2111.44210706674
"2044/2045",2045,121,121,100,1547,1008.5,69.7445208196732,354.477667586994
"2045/2046",2046,120,120,100,1962,1585.5,79.8778026376185,1001.99043480889
"2046/2047",2047,120,120,100,2118,1641,81.4755659751336,657.393992179655
"2047/2048",2048,120,120,100,1812,1481,80.8688990890751,1023.22855989693
"2048/2049",2049,121,121,100,1927,1214,75.862249715532,560.801626199856
"2049/2050",2050,120,120,100,2244,1716,80.7118023926323,653.121299457038
"2050/2051",2051,120,120,100,2197,1921.5,85.5621587976293,1073.98765338236
"2051/2052",2052,120,120,100,1699,1356.5,74.2341978479544,710.69351392868
"2052/2053",2053,121,121,100,1372,980.5,68.8515749415747,792.095399250509
"2053/2054",2054,120,120,100,1176,898,61.3197282507153,1256.3117901443
