"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1381,1042.5,62.9437846864025,573.768161359665
"2002/2003",2003,120,120,100,1432,1014.5,61.0587026357256,467.13658355872
"2003/2004",2004,120,120,100,1756,1537.5,73.1764148438447,1394.35504608165
"2004/2005",2005,121,121,100,1594,1158.5,63.1314989749045,521.591809612626
"2005/2006",2006,120,120,100,1298,955,52.1083491754896,358.097060127882
"2006/2007",2007,120,120,100,1529,1078.5,64.1793975701253,651.572846556912
"2007/2008",2008,120,120,100,1741,1352,72.8571189538113,907.996762774594
"2008/2009",2009,121,121,100,1410,1327,63.6821946940763,940.23064248974
"2009/2010",2010,120,120,100,1353,1184.5,62.1062506435906,715.550044242671
"2010/2011",2011,120,120,100,1063,962,52.9953375375776,1104.6388593117
"2011/2012",2012,120,120,100,1788,1237,71.883415307952,320.730030016362
"2012/2013",2013,121,121,100,1623,1311.5,72.2485975774475,927.546862819145
"2013/2014",2014,120,120,100,1791,1432.5,73.8150689843828,985.997360187088
"2014/2015",2015,120,120,100,1989,1728.5,77.6075140781977,900.189060926117
"2015/2016",2016,120,120,100,1626,1042,63.6911274699851,260.501747719361
"2016/2017",2017,121,121,100,1530,1098.5,62.4509210879883,681.509005257743
"2017/2018",2018,120,120,100,1269,1041,61.1648486447343,1271.85564694816
"2018/2019",2019,120,120,100,1697,1368,74.0833141795401,1402.87390967365
"2019/2020",2020,120,120,100,1381,975.5,64.1885435371605,519.861711379257
"2020/2021",2021,121,121,100,1048,814,56.3707836828171,699.362373275857
"2021/2022",2022,120,120,100,2037,1737.5,81.4316406389871,748.112460137869
"2022/2023",2023,120,120,100,1628,1027.5,68.0835447318104,478.01137478539
"2023/2024",2024,120,120,100,1276,707,55.7041298544063,139.66146865848
"2024/2025",2025,121,121,100,1530,955,66.3205784676484,158.797424501099
"2025/2026",2026,120,120,100,1221,1090,60.2464172703985,1302.58387374016
"2026/2027",2027,120,120,100,1474,1650.5,74.6198736900033,3052.60390139418
"2027/2028",2028,120,120,100,1648,1248.5,69.7220540110429,487.418607901374
"2028/2029",2029,121,121,100,1732,1372,70.3120230073464,1081.8129853867
"2029/2030",2030,120,120,100,1829,1248.5,71.0084222097266,460.143888432998
"2030/2031",2031,120,120,100,1498,1067.5,61.2860303179341,584.901115202869
"2031/2032",2032,120,120,100,1883,1388.5,68.3377639187192,363.893688852724
"2032/2033",2033,121,121,100,1609,1155.5,64.2284052230561,704.419229421299
"2033/2034",2034,120,120,100,1768,1490,74.4637846500209,1111.64024307719
"2034/2035",2035,120,120,100,1973,1623,79.2781501657983,900.619276867132
"2035/2036",2036,120,120,100,1805,1216.5,68.7080192829217,324.999709418626
"2036/2037",2037,121,121,100,1571,1096,62.3201872889604,295.16407058679
"2037/2038",2038,120,120,100,2090,1643,80.6675739785824,1088.47797697119
"2038/2039",2039,120,120,100,1386,1104,61.7469342713866,575.673592126346
"2039/2040",2040,120,120,100,1219,576.5,47.934764784166,33.8455584123731
"2040/2041",2041,121,121,100,1695,1032,62.2618344858693,185.661535332678
"2041/2042",2042,120,120,100,1572,1003,69.8073808832578,853.979552532313
"2042/2043",2043,120,120,100,1044,593.5,46.9242875255986,164.669672397547
"2043/2044",2044,120,120,100,1618,1239,73.1395561984828,2047.63503086334
"2044/2045",2045,121,121,100,1437,861,65.2471425474632,277.90996668092
"2045/2046",2046,120,120,100,1979,1484,75.4450443459136,735.747825120459
"2046/2047",2047,120,120,100,2073,1515.5,76.2454714049436,456.765781103284
"2047/2048",2048,120,120,100,1785,1376.5,77.5985657417623,743.785879698931
"2048/2049",2049,121,121,100,1765,1058,69.4621170363316,504.62503376347
"2049/2050",2050,120,120,100,2075,1530,76.5951360515737,546.826480187476
"2050/2051",2051,120,120,100,2106,1789,82.392384566183,897.721776423627
"2051/2052",2052,120,120,100,1622,1235.5,68.8573828419267,540.62952190754
"2052/2053",2053,121,121,100,1346,874,63.3933825209278,583.335945019382
"2053/2054",2054,120,120,100,1106,814.5,55.5423499624485,1231.28420461959
"2054/2055",2055,120,120,100,1237,707.5,54.0849339579509,231.103147438378
"2055/2056",2056,120,120,100,1851,1063,68.7124349024743,415.971354050911
"2056/2057",2057,121,121,100,1625,1041.5,67.1304474042263,302.397125818883
"2057/2058",2058,120,120,100,1533,1207,71.0276250990337,1097.2390393184
"2058/2059",2059,120,120,100,1382,964,55.7077407907254,188.668812317774
"2059/2060",2060,120,120,100,1975,1542.5,77.6874650877799,913.676438913681
"2060/2061",2061,121,121,100,1586,878.5,63.0903352475707,107.968004210386
"2061/2062",2062,120,120,100,1326,937.5,61.4755118832873,307.904925365583
"2062/2063",2063,120,120,100,1460,1224.5,67.5547010019436,2655.06877694232
"2063/2064",2064,120,120,100,1587,1551.5,72.5239827288606,1591.63175280811
"2064/2065",2065,121,121,100,1111,943,60.8825393163916,1959.44193044305
"2065/2066",2066,120,120,100,1046,960,56.2917531031599,1554.92987938202
"2066/2067",2067,120,120,100,1582,906.5,64.8312220268763,276.105156093836
"2067/2068",2068,120,120,100,1905,1729.5,77.7281239794829,910.746089464519
"2068/2069",2069,121,121,100,1405,932.5,59.8192252229346,289.0679623303
"2069/2070",2070,120,120,100,1813,1396,72.9535466405014,667.947448247112
"2070/2071",2071,120,120,100,1563,1168,66.4358303096251,737.561984413071
"2071/2072",2072,120,120,100,1744,1250,69.4690202450984,563.649807214737
"2072/2073",2073,121,121,100,1399,1137.5,60.729826560284,681.723391373409
"2073/2074",2074,120,120,100,1332,826,55.0072937742989,415.515756537439
"2074/2075",2075,120,120,100,1436,1118,65.1716783561278,697.255102259573
"2075/2076",2076,120,120,100,1427,998,60.889968353993,669.943174023414
"2076/2077",2077,121,121,100,1227,831,54.1597057357503,259.845523048425
"2077/2078",2078,120,120,100,1767,1517,76.160241372665,1508.84268553439
"2078/2079",2079,120,120,100,1754,1581.5,75.3510545677855,1471.67919302476
"2079/2080",2080,120,120,100,1482,1141,67.4690900834903,826.215732521145
"2080/2081",2081,121,121,100,1034,852,58.7524944459583,1083.99774123379
"2081/2082",2082,120,120,100,1369,960.5,59.5254362384403,367.870280143805
"2082/2083",2083,120,120,100,1632,860,64.953242520558,142.766069833888
"2083/2084",2084,120,120,100,1362,839.5,61.3847344144488,316.295261017047
"2084/2085",2085,121,121,100,1698,1593.5,78.9234797587524,1557.74148931704
"2085/2086",2086,120,120,100,1592,1088,67.0666816392077,540.513444111217
"2086/2087",2087,120,120,100,1713,1220.5,70.9751682694441,649.192398889922
"2087/2088",2088,120,120,100,1806,1260,69.5804969774726,423.81102912291
"2088/2089",2089,121,121,100,1686,1271.5,73.9972507168459,738.261928170687
"2089/2090",2090,120,120,100,1908,1235.5,73.6923779127428,346.367046084255
"2090/2091",2091,120,120,100,1725,1563,75.954129961694,1344.41137774265
"2091/2092",2092,120,120,100,1731,1240,73.7151674213637,724.43776395428
"2092/2093",2093,121,121,100,1785,1395.5,76.4918589747685,1049.15345331328
"2093/2094",2094,120,120,100,1363,884,59.9012204656647,429.148089333903
"2094/2095",2095,120,120,100,1599,1115.5,67.5041141684997,560.522014087299
"2095/2096",2096,120,120,100,1667,1083.5,67.5233589871568,479.853498323821
"2096/2097",2097,121,121,100,1149,502.5,52.9001973068989,22.5985866962001
"2097/2098",2098,120,120,100,1547,989.5,61.3365345403035,351.809957662597
"2098/2099",2099,120,120,100,1839,1301.5,71.6362457573814,293.141898632748
"2099/2100",2100,120,120,100,1603,1315,71.5576408898669,789.278559564846
"2100/2101",2101,120,61,50.8333333333333,943,591,36.5771870494063,220.108781035524
