"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"2",10,-20,-15,0,0
"3",10,-20,-14,0,0
"4",10,-20,-13,0,0
"5",10,-20,-12,0,0
"6",10,-20,-11,0,0
"7",10,-20,-10,0,0
"8",10,-20,-9,0,0
"9",10,-20,-8,0,0
"10",10,-20,-7,0,0
"11",10,-20,-6,0,0
"12",10,-20,-5,0,0
"13",10,-20,-4,0,0
"14",10,-20,-3,0,0
"15",10,-20,-2,0,0
"16",10,-20,-1,0,0
"17",10,-20,0,0,0
"18",10,-20,1,0,0
"19",10,-20,2,0,0
"20",10,-20,3,0.360276574081477,0
"21",10,-20,4,0.380982029132252,0
"22",10,-20,5,0.398489363334365,0.00778560774816395
"23",10,-20,6,0.388803953180901,0.0446972603015827
"24",10,-20,7,0.390553234692701,0.117693509359249
"25",10,-20,8,0.39409683282382,0.237987719011499
"26",10,-20,9,0.398227381846117,0.404283695820155
"27",10,-20,10,0.38191429587777,0.61463124260334
"28",10,-20,11,0.392150922999454,0.872088313499819
"29",10,-20,12,0.389468711404367,1.17646524192622
"30",10,-20,13,0.385548059343908,1.52202624161814
"31",10,-20,14,0.380344705978756,1.90186307733218
"32",10,-20,15,0.376076863604427,2.30853244829212
"33",10,-20,16,0.355515492640692,2.73508545599909
"34",10,-20,17,0.366658824544093,3.17508384133855
"35",10,-20,18,0.35696832831042,3.62185219983052
"36",10,-20,19,0.34640479646319,4.06853888933087
"37",10,-20,20,0.3351109964775,4.5079545270634
"38",10,-20,21,0.296404675195938,4.93279780698992
"39",10,-20,22,0.228862663282468,5.33613879853584
"40",10,-20,23,0,5.71110634727749
"41",10,-20,24,0,6.0513321745656
"42",10,-20,25,0,6.35129440489845
"43",10,-20,26,0,5.08380217975482
"44",10,-20,27,0,3.84638119290929
"45",10,-20,28,0,4.0620556316359
"46",10,-20,29,0,3.97416057333484
"47",10,-20,30,0,2.44090648665635
"48",10,-19,-15,0,0
"49",10,-19,-14,0,0
"50",10,-19,-13,0,0
"51",10,-19,-12,0,0
"52",10,-19,-11,0,0
"53",10,-19,-10,0,0
"54",10,-19,-9,0,0
"55",10,-19,-8,0,0
"56",10,-19,-7,0,0
"57",10,-19,-6,0,0
"58",10,-19,-5,0,0
"59",10,-19,-4,0,0
"60",10,-19,-3,0,0
"61",10,-19,-2,0,0
"62",10,-19,-1,0,0
"63",10,-19,0,0,0
"64",10,-19,1,0,0
"65",10,-19,2,0,0
"66",10,-19,3,0.389112077037202,0
"67",10,-19,4,0.386848718798601,0
"68",10,-19,5,0.390820377811322,0.00801049867440523
"69",10,-19,6,0.39431755499316,0.0454058197050274
"70",10,-19,7,0.39584700547506,0.120150487476535
"71",10,-19,8,0.415768119015113,0.242661783646429
"72",10,-19,9,0.411423961658517,0.411093411424363
