"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,1.49956077100388e-05,0
10,-10,-4,6.98508852148014e-05,0
10,-10,-3,0.000325204133582563,0
10,-10,-2,0.00150491558531456,0
10,-10,-1,0.00686787018992204,0
10,-10,0,0.0301616358398272,0
10,-10,1,0.116874468027855,0
10,-10,2,0.322936802307198,0
10,-10,3,0.525299522455949,0
10,-10,4,0.560199540190232,0
10,-10,5,0.580795246139892,0.23612186903174
10,-10,6,0.602241993456919,1.28438806552281
10,-10,7,0.604427445201244,3.42445271649285
10,-10,8,0.626741302036104,6.77352986431106
10,-10,9,0.625322497422801,11.3859211313573
10,-10,10,0.630372467405437,17.2358577856078
10,-10,11,0.634301468085686,24.2786964195296
10,-10,12,0.627400571587689,32.4307926055247
10,-10,13,0.605597428288471,41.5686524500331
10,-10,14,0.59698323930105,51.5392834882623
10,-10,15,0.576445425067759,62.1853049834908
10,-10,16,0.550875313729282,73.3301963356963
10,-10,17,0.531772695037692,84.789333200191
10,-10,18,0.486806431375077,96.3732303350617
10,-10,19,0.451096670333006,107.887595862678
10,-10,20,0.464020790705852,119.140121023504
10,-10,21,0.346398480622048,129.949352137387
10,-10,22,0.224938686248613,140.147072790297
10,-10,23,0.104910257818475,149.57966031796
10,-10,24,0,158.105186954805
10,-10,25,0,165.60326444988
10,-10,26,0,167.420035991861
10,-10,27,0,164.468782849577
10,-10,28,0,159.173246637815
10,-10,29,0,152.540565242856
10,-10,30,0,144.461002431956
10,-9,-5,1.61432366069957e-05,0
10,-9,-4,7.3616993561201e-05,0
10,-9,-3,0.000338462064646689,0
10,-9,-2,0.00155380084290484,0
10,-9,-1,0.00705337633078526,0
10,-9,0,0.0308683461086838,0
10,-9,1,0.119410310080987,0
10,-9,2,0.33017965045863,0
10,-9,3,0.535681071559163,0
10,-9,4,0.568759940825157,0
10,-9,5,0.59310583162207,0.244667851610136
10,-9,6,0.619687089277388,1.32659008166311
10,-9,7,0.616510124928843,3.53137322401416
10,-9,8,0.638917991151221,6.9733978723828
10,-9,9,0.630391894584115,11.6997112023469
10,-9,10,0.644133356554934,17.6844935988032
10,-9,11,0.644304753781708,24.8831579927118
10,-9,12,0.635127353679435,33.2028441092603
10,-9,13,0.617607012216017,42.50965467202
10,-9,14,0.611108886238711,52.6572015664927
10,-9,15,0.578342476123993,63.4819858881247
10,-9,16,0.563529048734835,74.805129425635
10,-9,17,0.530345087605178,86.4401081974649
10,-9,18,0.483519430622639,98.190947390622
10,-9,19,0.456501492861261,109.859782583822
10,-9,20,0.47670139947158,121.256459809543
10,-9,21,0.36633299140606,132.200763194198
10,-9,22,0.229130376456143,142.521938297846
10,-9,23,0.11680391833667,152.059549272426
10,-9,24,0.0252529135677782,160.673032116391
10,-9,25,0,168.242693817645
10,-9,26,0,170.03364495977
10,-9,27,0,167.033124765301
10,-9,28,0,161.683881411909
10,-9,29,0,154.976789159744
10,-9,30,0,146.669898221096
10,-8,-5,1.80836245003548e-05,0
10,-8,-4,7.9237913371429e-05,0
10,-8,-3,0.000356626603198109,0
10,-8,-2,0.00161672854250254,0
10,-8,-1,0.0072804374534695,0
10,-8,0,0.0316953595376406,0
10,-8,1,0.122241481739916,0
10,-8,2,0.337843734872334,0
10,-8,3,0.545866852214343,0
10,-8,4,0.576251109374585,0
10,-8,5,0.604628609320648,0.254089160480338
10,-8,6,0.631618262488822,1.37425619066912
10,-8,7,0.630966285315364,3.64819104811115
10,-8,8,0.648063346558466,7.19162288633079
10,-8,9,0.647561436749214,12.0385697762362
10,-8,10,0.658689736692585,18.1715637428134
10,-8,11,0.653209047118625,25.5369151830988
10,-8,12,0.638234287999354,34.0302061762368
10,-8,13,0.637115868854312,43.5177877885419
10,-8,14,0.616659917348538,53.8532364262737
10,-8,15,0.586561995482741,64.8675114087827
10,-8,16,0.565202413342619,76.38065315306
10,-8,17,0.527744246883368,88.1987431413159
10,-8,18,0.511067559851238,100.121899649291
10,-8,19,0.46792641523859,111.954546365447
10,-8,20,0.468702681567077,123.507447591467
10,-8,21,0.354094829598005,134.594895609408
