"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Model","Chill_portions","GDH","Data_source"
"2055/2056",2056,120,120,100,2373,2008.5,86.1654409721481,888.885362158859,"simulated"
"2056/2057",2057,121,121,100,2403,1750,82.3519123076157,485.838346085336,"simulated"
"2057/2058",2058,120,120,100,2004,1896,83.6918454113548,1629.80587286979,"simulated"
"2058/2059",2059,120,120,100,2074,1686.5,79.4973128998929,680.629997425906,"simulated"
"2059/2060",2060,120,120,100,2132,2279,88.7514383285985,1851.42060318565,"simulated"
"2060/2061",2061,121,121,100,2358,1883.5,83.5842457566142,681.454196309527,"simulated"
"2061/2062",2062,120,120,100,2070,1585,79.4408213298443,683.481907204846,"simulated"
"2062/2063",2063,120,120,100,1948,1806,82.8818249631831,3006.50825340746,"simulated"
"2063/2064",2064,120,120,100,1929,1920,83.7137080339795,1813.37374957732,"simulated"
"2064/2065",2065,121,121,100,1699,1547.5,77.0338607400713,2271.92301624631,"simulated"
"2065/2066",2066,120,120,100,1675,1491,74.7890313749845,1878.089175872,"simulated"
"2066/2067",2067,120,120,100,2277,1807,82.9099718201907,904.431845198357,"simulated"
"2067/2068",2068,120,120,100,2018,2218,89.5390417085796,1966.93923095281,"simulated"
"2068/2069",2069,121,121,100,1813,1639,74.1856159475122,923.769747119019,"simulated"
"2069/2070",2070,120,120,100,2107,2046.5,84.8094114002646,1395.16003651948,"simulated"
"2070/2071",2071,120,120,100,1836,1762.5,83.2028250709029,1575.70532062787,"simulated"
"2071/2072",2072,120,120,100,1998,1795,79.6882271353453,1046.43598271691,"simulated"
"2072/2073",2073,121,121,100,1898,1845.5,78.1074205908409,1528.6914897576,"simulated"
"2073/2074",2074,120,120,100,1910,1521.5,74.3738725328507,847.462828882822,"simulated"
"2074/2075",2075,120,120,100,2445,2030,86.1656486746945,762.771333566403,"simulated"
"2075/2076",2076,120,120,100,1993,1764,79.292690486972,921.950202398142,"simulated"
"2076/2077",2077,121,121,100,1809,1468,75.5995516413716,802.92190225451,"simulated"
"2077/2078",2078,120,120,100,2096,1980.5,85.0720265893989,2118.34103786201,"simulated"
"2078/2079",2079,120,120,100,1824,1886.5,82.1920742745376,2079.44330440911,"simulated"
"2079/2080",2080,120,120,100,1869,1677.5,80.1399628281506,1552.2478319886,"simulated"
"2080/2081",2081,121,121,100,1485,1165.5,69.0991547700956,1869.35713248231,"simulated"
"2081/2082",2082,120,120,100,2070,1666.5,79.739896244441,1330.57418745477,"simulated"
"2082/2083",2083,120,120,100,2286,1837.5,82.3819163003148,570.398279372926,"simulated"
"2083/2084",2084,120,120,100,2086,1661,78.6254836442074,861.8586764401,"simulated"
"2084/2085",2085,121,121,100,1933,2041.5,87.8984080140471,2301.12959665315,"simulated"
"2085/2086",2086,120,120,100,2299,1988,85.0240533561923,1013.33043468646,"simulated"
"2086/2087",2087,120,120,100,2241,1992.5,85.1397388778807,1273.09887834369,"simulated"
"2087/2088",2088,120,120,100,2198,1866.5,84.6685302434061,1110.53952525332,"simulated"
"2088/2089",2089,121,121,100,2152,1928,85.6636495948619,1509.98653943175,"simulated"
"2089/2090",2090,120,120,100,2174,1963,86.2059990904319,1160.02788401755,"simulated"
"2090/2091",2091,120,120,100,2067,2058.5,86.9700603753207,2009.50028793652,"simulated"
"2091/2092",2092,120,120,100,2103,1861.5,83.6093145519094,1484.8478012736,"simulated"
"2092/2093",2093,121,121,100,2113,1968,86.3008455117342,1846.37350670086,"simulated"
"2093/2094",2094,120,120,100,2084,1590.5,79.7601798357433,723.166168649872,"simulated"
"2094/2095",2095,120,120,100,2147,1960.5,82.3686743301372,1040.33217289991,"simulated"
"2095/2096",2096,120,120,100,2060,1925,82.7617818037988,1268.18012684612,"simulated"
"2096/2097",2097,121,121,100,2444,1841,81.8817598622298,248.912656280705,"simulated"
"2097/2098",2098,120,120,100,2271,1909,81.1304005411731,577.639415803851,"simulated"
"2098/2099",2099,120,120,100,2388,2154,86.6911660579173,965.476688827401,"simulated"
"2099/2100",2100,120,120,100,1891,1832.5,83.1826057737126,1528.60782438255,"simulated"
